name,swing precision,swing recall,swing fscore,woba
 Dixon Machado,0.7301204819277108,0.6209016393442623,0.6710963455149501,0.244
 Eugenio Suarez,0.753690036900369,0.6825396825396826,0.716352476983779,0.376
 Zack Wheeler,0.6238532110091743,0.6355140186915887,0.6296296296296297,0.183
 Gregory Polanco,0.7064128256513026,0.6994047619047619,0.7028913260219342,0.353
 Domingo Santana,0.679814385150812,0.6845794392523364,0.6821885913853317,0.319
 Erik Gonzalez,0.6653543307086615,0.7253218884120172,0.6940451745379878,0.294
 Gio Urshela,0.7272727272727273,0.7111111111111111,0.7191011235955056,0.27
 Yolmer Sanchez,0.6717011128775835,0.6470137825421133,0.6591263650546021,0.297
 Jose Urena,0.6095238095238096,0.64,0.624390243902439,0.057
 Jonathan Schoop,0.6311066799601196,0.773838630806846,0.6952224052718287,0.29
 Christian Villanueva,0.6792682926829269,0.7516869095816464,0.7136450992953235,0.323
 Matt Adams,0.637223974763407,0.7137809187279152,0.6733333333333333,0.334
 Aaron Altherr,0.7436893203883496,0.6790780141843972,0.7099165894346617,0.282
 Nolan Arenado,0.6746707978311387,0.7252289758534555,0.6990369181380418,0.391
 Tucker Barnhart,0.7158836689038032,0.6926406926406926,0.704070407040704,0.307
 Justin Bour,0.6541617819460727,0.5849056603773585,0.6175982291090205,0.324
 Patrick Corbin,0.6909090909090909,0.562962962962963,0.6204081632653062,0.195
 Noel Cuevas,0.7157190635451505,0.7896678966789668,0.750877192982456,0.254
 Matt Davidson,0.7150313152400835,0.6656948493683188,0.6894816305988929,0.321
 Kyle Farmer,0.6218487394957983,0.592,0.6065573770491803,0.278
 David Freitas,0.7960199004975125,0.7582938388625592,0.7766990291262135,0.262
 Scooter Gennett,0.6353211009174312,0.7386666666666667,0.6831072749691739,0.362
 Brian Goodwin,0.7009966777408638,0.5523560209424084,0.6178623718887263,0.311
 Billy Hamilton,0.7350096711798839,0.684068406840684,0.7086247086247085,0.277
 Mitch Haniger,0.7312775330396476,0.6125461254612546,0.6666666666666666,0.367
 Enrique Hernandez,0.7269279393173198,0.6586483390607102,0.6911057692307693,0.342
 Brock Holt,0.7414104882459313,0.5495978552278821,0.6312548113933796,0.338
 Spencer Kieboom,0.7974137931034483,0.6702898550724637,0.7283464566929133,0.29
 Jake Lamb,0.7198067632850241,0.602020202020202,0.6556655665566556,0.29
 Luke Maile,0.7132352941176471,0.631236442516269,0.6697353279631761,0.31
 Deven Marrero,0.6621621621621622,0.6805555555555556,0.6712328767123288,0.196
 Steven Matz,0.6728971962616822,0.6605504587155964,0.6666666666666666,0.186
 Miles Mikolas,0.648,0.6377952755905512,0.6428571428571429,0.181
 Max Muncy,0.7364238410596027,0.5673469387755102,0.6409221902017291,0.407
 John Ryan Murphy,0.6658823529411765,0.6345291479820628,0.6498277841561424,0.265
 Wil Myers,0.6580937972768532,0.6415929203539823,0.6497386109036595,0.328
 Tyler Naquin,0.6517857142857143,0.6636363636363637,0.6576576576576576,0.282
 Chris Owings,0.6476868327402135,0.6816479400749064,0.6642335766423357,0.25
 Josh Phegley,0.6256983240223464,0.6363636363636364,0.6309859154929577,0.259
 Stephen Piscotty,0.6753698868581375,0.725912067352666,0.6997294860234445,0.351
 AJ Pollock,0.7021791767554479,0.6712962962962963,0.6863905325443787,0.338
 Joey Rickard,0.6830985915492958,0.6367614879649891,0.6591166477916195,0.309
 Kyle Seager,0.7018739352640545,0.6815550041356493,0.6915652538816619,0.288
 Andrew Susac,0.8867924528301887,0.7121212121212122,0.7899159663865547,0.116
 Michael A. Taylor,0.7135549872122762,0.727509778357236,0.7204648160103292,0.28
 Trayce Thompson,0.6792452830188679,0.6,0.6371681415929203,0.162
 Luke Voit III,0.7363636363636363,0.7546583850931677,0.745398773006135,0.447
 Christian Walker,0.6692307692307692,0.8613861386138614,0.7532467532467533,0.264
 Mike Zunino,0.6797153024911032,0.6903614457831325,0.684997011356844,0.288
 Robbie Erlin,0.7954545454545454,0.5645161290322581,0.6603773584905661,0.212
 Ryan Goins,0.7169811320754716,0.6440677966101694,0.6785714285714285,0.246
 Lane Adams,0.6938775510204082,0.6666666666666666,0.6799999999999999,0.369
 Matt Carpenter,0.7439252336448599,0.5793304221251819,0.6513911620294598,0.375
 Corey Dickerson,0.6278674596431606,0.7903743315508022,0.699810606060606,0.341
 Brian Dozier,0.6881720430107527,0.5742251223491027,0.6260560248999555,0.304
 Tyler Saladino,0.7296137339055794,0.5743243243243243,0.6427221172022685,0.302
 Dan Straily,0.8032786885245902,0.5384615384615384,0.644736842105263,0.275
 Willson Contreras,0.6771130104463438,0.6915615906886518,0.68426103646833,0.321
 Jedd Gyorko,0.6948228882833788,0.6728232189973615,0.6836461126005362,0.333
 Jose Iglesias,0.6014150943396226,0.6129807692307693,0.6071428571428572,0.304
 Devon Travis,0.6953937592867756,0.6753246753246753,0.6852122986822841,0.283
 Adeiny Hechavarria,0.6596434359805511,0.74,0.6975149957155099,0.268
 Ronald Torreyes,0.6818181818181818,0.6958762886597938,0.6887755102040816,0.287
